dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 16:44;2.78 Mbit/s;24.54 Mbit/s;< 1 ms;< 1 ms;3.06 Mbit/s;10.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 10:44;31.0 Mbit/s;33.79 Mbit/s;< 1 ms;< 1 ms;11.92 Mbit/s;32.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 01:45;4.8 Mbit/s;35.72 Mbit/s;< 1 ms;< 1 ms;5.28 Mbit/s;15.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 19:44;7.74 Mbit/s;28.85 Mbit/s;< 1 ms;< 1 ms;8.41 Mbit/s;16.39 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 16:44;7.13 Mbit/s;35.6 Mbit/s;< 1 ms;< 1 ms;7.73 Mbit/s;35.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 21:58;3.34 ms;null;false;
;;;;;;;;;;23/12/14 20:58;2.76 ms;null;false;
;;;;;;;;;;23/12/14 19:58;3.42 ms;null;false;
;;;;;;;;;;23/12/14 18:58;3.46 ms;null;false;
;;;;;;;;;;23/12/14 17:58;3.53 ms;null;false;
;;;;;;;;;;23/12/14 16:58;3.41 ms;null;false;
;;;;;;;;;;23/12/14 15:58;3.43 ms;null;false;
;;;;;;;;;;23/12/14 14:58;3.48 ms;null;false;
;;;;;;;;;;23/12/14 13:58;104.29 ms;null;false;
;;;;;;;;;;23/12/14 12:58;5.64 ms;null;false;
;;;;;;;;;;23/12/14 11:58;2.91 ms;null;false;
;;;;;;;;;;23/12/14 10:58;3.2 ms;null;false;
;;;;;;;;;;23/12/14 09:58;13.53 ms;null;false;
;;;;;;;;;;23/12/14 08:58;3.12 ms;null;false;
;;;;;;;;;;23/12/14 07:58;3.35 ms;null;false;
;;;;;;;;;;23/12/14 06:58;3.35 ms;null;false;
;;;;;;;;;;23/12/14 05:58;3.32 ms;null;false;
;;;;;;;;;;23/12/14 04:58;3.27 ms;null;false;
;;;;;;;;;;23/12/14 03:58;7.93 ms;null;false;
;;;;;;;;;;23/12/14 01:58;3.73 ms;null;false;
;;;;;;;;;;23/12/14 00:58;2.87 ms;null;false;
;;;;;;;;;;22/12/14 23:58;3.17 ms;null;false;
;;;;;;;;;;22/12/14 22:58;5.38 ms;null;false;
;;;;;;;;;;22/12/14 19:58;3.32 ms;null;false;
;;;;;;;;;;22/12/14 18:58;3.46 ms;null;false;
;;;;;;;;;;22/12/14 17:58;16.99 ms;null;false;
;;;;;;;;;;22/12/14 15:58;3.26 ms;null;false;
;;;;;;;;;;22/12/14 14:58;3.34 ms;null;false;
;;;;;;;;;;22/12/14 12:58;3.19 ms;null;false;
;;;;;;;;;;22/12/14 07:58;5.29 ms;null;false;
;;;;;;;;;;22/12/14 03:58;3.23 ms;null;false;
;;;;;;;;;;22/12/14 00:58;3.3 ms;null;false;
