dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
05/01/15 14:47;3.98 Mbit/s;2.43 Mbit/s;1.03 ms;1.82 ms;4.2 Mbit/s;1.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
05/01/15 13:46;5.94 Mbit/s;1.74 Mbit/s;12.49 ms;17.35 ms;5.88 Mbit/s;1.87 Mbit/s;2.11 %;2.11 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
05/01/15 12:46;9.98 Mbit/s;2.83 Mbit/s;2.08 ms;6.16 ms;6.42 Mbit/s;2.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
05/01/15 11:46;4.48 Mbit/s;2.24 Mbit/s;1.77 ms;19.94 ms;4.84 Mbit/s;1.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
05/01/15 10:46;4.24 Mbit/s;3.37 Mbit/s;1.74 ms;8.63 ms;4.64 Mbit/s;3.58 Mbit/s;4.32 %;4.32 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
05/01/15 09:46;6.85 Mbit/s;7.32 Mbit/s;15.2 ms;45.84 ms;8.15 Mbit/s;7.84 Mbit/s;8.0 %;8.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
05/01/15 08:50;7.98 Mbit/s;8.81 Mbit/s;1.38 ms;13.31 ms;8.3 Mbit/s;9.49 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
05/01/15 06:46;7.99 Mbit/s;4.7 Mbit/s;13.08 ms;7.55 ms;-;5.04 Mbit/s;2.52 %;2.52 %;PTT Metro de Campinas;;;;;
05/01/15 05:50;7.54 Mbit/s;5.7 Mbit/s;6.45 ms;10.45 ms;8.15 Mbit/s;6.04 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
05/01/15 04:46;7.3 Mbit/s;6.8 Mbit/s;< 1 ms;3.49 ms;7.1 Mbit/s;7.27 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/01/15 03:50;7.21 Mbit/s;7.1 Mbit/s;< 1 ms;1.69 ms;7.74 Mbit/s;6.92 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
05/01/15 02:46;6.18 Mbit/s;6.25 Mbit/s;2.79 ms;2.35 ms;6.82 Mbit/s;6.5 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
05/01/15 01:46;7.4 Mbit/s;6.39 Mbit/s;1.62 ms;1.62 ms;7.85 Mbit/s;6.2 Mbit/s;2.82 %;2.82 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
05/01/15 00:46;8.95 Mbit/s;5.12 Mbit/s;1.1 ms;10.9 ms;7.71 Mbit/s;4.96 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/01/15 23:46;6.64 Mbit/s;4.88 Mbit/s;1.37 ms;1.7 ms;7.23 Mbit/s;5.2 Mbit/s;3.57 %;3.57 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/01/15 22:46;6.87 Mbit/s;5.47 Mbit/s;2.58 ms;1.52 ms;2.36 Mbit/s;5.85 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
04/01/15 21:50;6.08 Mbit/s;5.26 Mbit/s;4.78 ms;11.12 ms;6.27 Mbit/s;2.57 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
04/01/15 20:46;7.47 Mbit/s;5.51 Mbit/s;1.66 ms;3.97 ms;7.1 Mbit/s;5.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
