dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
22/12/14 21:13;427.55 kbit/s;2.42 Mbit/s;35.3 ms;1.51 ms;438.11 kbit/s;2.57 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 20:13;8.4 Mbit/s;19.25 Mbit/s;5.18 ms;15.25 ms;871.85 kbit/s;20.02 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 19:13;10.8 Mbit/s;30.4 Mbit/s;45.57 ms;11.81 ms;10.4 Mbit/s;18.39 Mbit/s;8.09 %;8.09 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 18:13;9.42 Mbit/s;10.25 Mbit/s;6.22 ms;20.37 ms;9.57 Mbit/s;10.98 Mbit/s;2.05 %;2.05 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 17:13;4.84 Mbit/s;11.19 Mbit/s;11.81 ms;9.78 ms;5.28 Mbit/s;9.54 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 16:13;8.61 Mbit/s;6.65 Mbit/s;25.59 ms;2.1 ms;6.94 Mbit/s;7.2 Mbit/s;4.32 %;4.32 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 15:13;8.32 Mbit/s;10.18 Mbit/s;14.53 ms;9.09 ms;8.23 Mbit/s;10.73 Mbit/s;1.36 %;1.36 %;PTT Metro de Curitiba;;;;;
22/12/14 14:13;2.35 Mbit/s;10.73 Mbit/s;9.5 ms;5.79 ms;2.54 Mbit/s;5.67 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 13:13;12.08 Mbit/s;20.74 Mbit/s;16.86 ms;3.45 ms;10.0 Mbit/s;19.99 Mbit/s;3.55 %;3.55 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 12:13;5.58 Mbit/s;1.56 Mbit/s;20.91 ms;7.14 ms;5.13 Mbit/s;1.66 Mbit/s;5.93 %;5.93 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 11:13;6.96 Mbit/s;21.57 Mbit/s;23.55 ms;5.02 ms;3.53 Mbit/s;23.21 Mbit/s;3.55 %;3.55 %;PTT Metro de Curitiba;;;;;
22/12/14 10:13;5.82 Mbit/s;31.07 Mbit/s;15.85 ms;12.39 ms;6.44 Mbit/s;32.81 Mbit/s;2.8 %;2.8 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 09:13;10.0 Mbit/s;20.26 Mbit/s;29.49 ms;9.66 ms;5.37 Mbit/s;21.06 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 08:13;7.83 Mbit/s;16.61 Mbit/s;12.5 ms;18.56 ms;4.66 Mbit/s;18.14 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 07:13;14.62 Mbit/s;34.66 Mbit/s;7.32 ms;21.76 ms;12.04 Mbit/s;32.81 Mbit/s;2.07 %;2.07 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 06:13;11.28 Mbit/s;16.69 Mbit/s;19.69 ms;28.5 ms;12.29 Mbit/s;17.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 05:13;7.53 Mbit/s;14.61 Mbit/s;< 1 ms;17.69 ms;8.73 Mbit/s;13.46 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 04:13;15.57 Mbit/s;39.92 Mbit/s;< 1 ms;< 1 ms;16.79 Mbit/s;42.15 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 03:13;16.95 Mbit/s;41.24 Mbit/s;< 1 ms;< 1 ms;17.17 Mbit/s;44.2 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 02:13;14.89 Mbit/s;41.26 Mbit/s;< 1 ms;< 1 ms;16.12 Mbit/s;43.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 01:13;16.17 Mbit/s;41.85 Mbit/s;1.23 ms;< 1 ms;13.54 Mbit/s;44.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 00:13;14.09 Mbit/s;36.75 Mbit/s;38.46 ms;< 1 ms;14.87 Mbit/s;39.25 Mbit/s;34.02 %;34.02 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 23:27;1.24 ms;null;false;
;;;;;;;;;;23/12/14 22:27;327.57 ms;null;false;
;;;;;;;;;;23/12/14 21:27;13.6 ms;null;false;
;;;;;;;;;;23/12/14 20:27;10.27 ms;null;false;
;;;;;;;;;;23/12/14 19:27;112.44 ms;null;false;
;;;;;;;;;;23/12/14 18:27;104.66 ms;null;false;
;;;;;;;;;;23/12/14 17:27;48.25 ms;null;false;
;;;;;;;;;;23/12/14 16:27;46.82 ms;null;false;
;;;;;;;;;;23/12/14 15:27;27.08 ms;null;false;
;;;;;;;;;;23/12/14 14:27;105.09 ms;null;false;
;;;;;;;;;;23/12/14 13:27;381.81 ms;null;false;
;;;;;;;;;;23/12/14 12:27;310.24 ms;null;false;
;;;;;;;;;;23/12/14 11:27;144.83 ms;null;false;
;;;;;;;;;;23/12/14 10:27;41.56 ms;null;false;
;;;;;;;;;;23/12/14 09:27;42.47 ms;null;false;
;;;;;;;;;;23/12/14 08:27;176.96 ms;null;false;
;;;;;;;;;;23/12/14 07:27;239.19 ms;null;false;
;;;;;;;;;;23/12/14 06:27;447.32 ms;null;false;
;;;;;;;;;;23/12/14 05:27;1.29 ms;null;false;
;;;;;;;;;;23/12/14 04:27;80.73 ms;null;false;
;;;;;;;;;;23/12/14 03:27;1.89 ms;null;false;
;;;;;;;;;;23/12/14 02:27;1.39 ms;null;false;
;;;;;;;;;;23/12/14 01:27;1.31 ms;null;false;
;;;;;;;;;;23/12/14 00:27;1.39 ms;null;false;
;;;;;;;;;;22/12/14 23:27;1.8 ms;null;false;
;;;;;;;;;;22/12/14 22:27;23.98 ms;null;false;
;;;;;;;;;;22/12/14 21:27;1.55 ms;null;false;
;;;;;;;;;;22/12/14 20:27;126.82 ms;null;false;
;;;;;;;;;;22/12/14 19:27;592.84 ms;null;false;
;;;;;;;;;;22/12/14 18:27;154.0 ms;null;false;
;;;;;;;;;;22/12/14 17:27;62.14 ms;null;false;
;;;;;;;;;;22/12/14 16:27;133.82 ms;null;false;
;;;;;;;;;;22/12/14 15:27;45.01 ms;null;false;
;;;;;;;;;;22/12/14 14:27;53.34 ms;null;false;
;;;;;;;;;;22/12/14 13:27;1.68 ms;null;false;
;;;;;;;;;;22/12/14 12:27;38.14 ms;null;false;
;;;;;;;;;;22/12/14 11:27;95.05 ms;null;false;
;;;;;;;;;;22/12/14 10:27;1.37 ms;null;false;
;;;;;;;;;;22/12/14 09:27;62.22 ms;null;false;
;;;;;;;;;;22/12/14 08:27;23.45 ms;null;false;
;;;;;;;;;;22/12/14 07:27;87.11 ms;null;false;
;;;;;;;;;;22/12/14 06:27;2.86 ms;null;false;
;;;;;;;;;;22/12/14 05:27;1.12 ms;null;false;
;;;;;;;;;;22/12/14 04:27;31.34 ms;null;false;
;;;;;;;;;;22/12/14 03:27;2.18 ms;null;false;
;;;;;;;;;;22/12/14 02:27;1.12 ms;null;false;
;;;;;;;;;;22/12/14 01:27;1.54 ms;null;false;
;;;;;;;;;;22/12/14 00:27;1.48 ms;null;false;
