dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
04/01/15 19:03;-;-;-;10.4 ms;-;-;28.41 %;28.41 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/01/15 18:03;8.53 Mbit/s;17.05 Mbit/s;5.6 ms;10.56 ms;601.31 kbit/s;16.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/01/15 16:03;6.23 Mbit/s;4.12 Mbit/s;26.71 ms;-;6.49 Mbit/s;4.1 Mbit/s;2.94 %;2.94 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
04/01/15 14:08;17.35 Mbit/s;19.57 Mbit/s;12.62 ms;4.98 ms;19.29 Mbit/s;15.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
04/01/15 10:07;17.47 Mbit/s;17.5 Mbit/s;< 1 ms;11.4 ms;19.23 Mbit/s;17.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/01/15 09:07;1.88 Mbit/s;19.25 Mbit/s;3.62 ms;7.75 ms;2.0 Mbit/s;739.9 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
04/01/15 07:07;28.14 Mbit/s;33.74 Mbit/s;4.55 ms;4.49 ms;31.21 Mbit/s;33.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/01/15 06:07;11.59 Mbit/s;25.14 Mbit/s;7.11 ms;9.34 ms;11.92 Mbit/s;8.63 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/01/15 04:07;15.09 Mbit/s;30.94 Mbit/s;3.6 ms;2.74 ms;17.21 Mbit/s;26.3 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
04/01/15 01:07;25.25 Mbit/s;24.76 Mbit/s;< 1 ms;6.1 ms;13.91 Mbit/s;6.72 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/01/15 00:07;25.19 Mbit/s;26.1 Mbit/s;3.45 ms;21.67 ms;28.67 Mbit/s;27.92 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/01/15 23:08;7.3 Mbit/s;4.28 Mbit/s;14.06 ms;19.47 ms;8.33 Mbit/s;2.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/01/15 22:08;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 20:08;16.59 Mbit/s;17.8 Mbit/s;67.3 ms;29.5 ms;17.4 Mbit/s;18.58 Mbit/s;17.5 %;17.5 %;PTT Metro de Curitiba;;;;;
03/01/15 18:07;5.29 Mbit/s;22.27 Mbit/s;7.96 ms;17.08 ms;5.83 Mbit/s;22.28 Mbit/s;5.41 %;5.41 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/01/15 17:08;-;-;-;-;-;-;2.78 %;2.78 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/01/15 16:07;24.72 Mbit/s;32.62 Mbit/s;52.04 ms;5.79 ms;19.94 Mbit/s;31.51 Mbit/s;7.27 %;7.27 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/01/15 15:08;2.4 Mbit/s;14.89 Mbit/s;90.38 ms;22.17 ms;2.68 Mbit/s;14.14 Mbit/s;20.0 %;20.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 14:08;14.42 Mbit/s;26.57 Mbit/s;24.08 ms;15.6 ms;12.58 Mbit/s;22.08 Mbit/s;2.48 %;2.48 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/01/15 13:07;19.95 Mbit/s;16.18 Mbit/s;22.99 ms;2.45 ms;18.38 Mbit/s;16.95 Mbit/s;2.63 %;2.63 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/01/15 10:03;17.72 Mbit/s;31.73 Mbit/s;15.49 ms;3.04 ms;19.74 Mbit/s;31.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/01/15 09:03;3.41 Mbit/s;30.49 Mbit/s;1.11 ms;4.01 ms;3.76 Mbit/s;17.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Goiania;;;;;
03/01/15 08:03;18.52 Mbit/s;35.86 Mbit/s;53.19 ms;5.67 ms;16.76 Mbit/s;33.72 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/01/15 04:03;12.31 Mbit/s;19.66 Mbit/s;9.04 ms;34.27 ms;13.67 Mbit/s;19.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/01/15 03:03;14.29 Mbit/s;25.28 Mbit/s;4.92 ms;3.73 ms;16.04 Mbit/s;25.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 02:03;17.23 Mbit/s;25.14 Mbit/s;45.99 ms;4.34 ms;20.21 Mbit/s;22.16 Mbit/s;18.75 %;18.75 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/01/15 01:03;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
;;;;;;;;;;04/01/15 18:17;204.14 ms;null;false;
;;;;;;;;;;04/01/15 16:17;36.28 ms;null;false;
;;;;;;;;;;04/01/15 15:17;1414.11 ms;null;false;
;;;;;;;;;;04/01/15 14:17;519.92 ms;null;false;
