dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
19/01/15 23:40;7.11 Mbit/s;10.51 Mbit/s;22.26 ms;3.1 ms;2.56 Mbit/s;11.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
19/01/15 22:40;958.31 kbit/s;1.19 Mbit/s;39.44 ms;6.43 ms;935.56 kbit/s;1.26 Mbit/s;2.76 %;2.76 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/01/15 21:40;909.87 kbit/s;4.74 Mbit/s;87.88 ms;3.67 ms;307.2 kbit/s;5.08 Mbit/s;7.97 %;7.97 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
19/01/15 20:40;505.48 kbit/s;568.83 kbit/s;41.32 ms;3.76 ms;444.22 kbit/s;573.75 kbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
19/01/15 19:40;9.19 Mbit/s;6.05 Mbit/s;7.79 ms;6.33 ms;9.73 Mbit/s;6.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
19/01/15 18:40;1.04 Mbit/s;699.65 kbit/s;29.16 ms;11.68 ms;417.16 kbit/s;577.71 kbit/s;5.11 %;5.11 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/01/15 17:40;815.09 kbit/s;897.67 kbit/s;36.15 ms;3.01 ms;580.36 kbit/s;950.77 kbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
19/01/15 16:40;6.71 Mbit/s;14.71 Mbit/s;13.31 ms;1.22 ms;7.4 Mbit/s;15.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
19/01/15 15:40;1.48 Mbit/s;3.02 Mbit/s;12.38 ms;1.49 ms;1.29 Mbit/s;3.2 Mbit/s;1.36 %;1.36 %;PTT Metro de Curitiba;;;;;
19/01/15 14:40;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
19/01/15 13:40;1.99 Mbit/s;2.52 Mbit/s;25.55 ms;4.0 ms;1.52 Mbit/s;2.69 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/01/15 12:40;2.08 Mbit/s;5.88 Mbit/s;41.99 ms;4.15 ms;921.6 kbit/s;5.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
19/01/15 11:40;3.43 Mbit/s;12.29 Mbit/s;35.53 ms;1.32 ms;3.77 Mbit/s;13.02 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
19/01/15 10:40;6.49 Mbit/s;2.9 Mbit/s;77.68 ms;6.53 ms;3.85 Mbit/s;3.11 Mbit/s;0.68 %;0.68 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
19/01/15 09:40;1.51 Mbit/s;3.62 Mbit/s;24.34 ms;< 1 ms;1.5 Mbit/s;3.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
19/01/15 08:40;10.15 Mbit/s;14.48 Mbit/s;22.61 ms;< 1 ms;10.9 Mbit/s;15.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/01/15 07:40;27.56 Mbit/s;16.56 Mbit/s;9.26 ms;1.89 ms;28.94 Mbit/s;17.72 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
19/01/15 06:40;34.16 Mbit/s;27.56 Mbit/s;6.7 ms;< 1 ms;32.96 Mbit/s;27.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/01/15 05:40;30.4 Mbit/s;25.99 Mbit/s;7.51 ms;12.6 ms;26.73 Mbit/s;27.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
19/01/15 04:40;17.82 Mbit/s;9.48 Mbit/s;21.38 ms;1.03 ms;12.94 Mbit/s;10.11 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
19/01/15 03:40;25.96 Mbit/s;7.74 Mbit/s;4.26 ms;2.39 ms;10.3 Mbit/s;8.26 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
19/01/15 02:40;34.38 Mbit/s;18.91 Mbit/s;5.25 ms;8.23 ms;22.47 Mbit/s;19.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
19/01/15 01:40;18.16 Mbit/s;10.47 Mbit/s;3.33 ms;1.71 ms;11.86 Mbit/s;11.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
19/01/15 00:40;-;-;-;2.13 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
18/01/15 23:40;424.4 kbit/s;673.41 kbit/s;64.0 ms;2.15 ms;356.07 kbit/s;700.76 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
18/01/15 22:40;318.03 kbit/s;600.01 kbit/s;97.67 ms;1.86 ms;378.76 kbit/s;493.04 kbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
18/01/15 21:40;-;-;-;2.22 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 20:40;-;-;99.35 ms;2.83 ms;-;-;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
18/01/15 19:40;3.33 Mbit/s;3.87 Mbit/s;62.37 ms;1.79 ms;1.71 Mbit/s;4.1 Mbit/s;21.14 %;21.14 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
18/01/15 18:40;227.47 kbit/s;987.52 kbit/s;31.39 ms;1.0 ms;224.29 kbit/s;1.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 17:40;418.08 kbit/s;2.02 Mbit/s;62.91 ms;4.95 ms;444.22 kbit/s;2.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
18/01/15 16:40;5.27 Mbit/s;8.11 Mbit/s;22.42 ms;2.98 ms;1.2 Mbit/s;8.66 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/01/15 15:40;3.44 Mbit/s;5.48 Mbit/s;40.49 ms;< 1 ms;2.03 Mbit/s;5.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
18/01/15 14:40;4.02 Mbit/s;5.42 Mbit/s;27.75 ms;1.14 ms;2.08 Mbit/s;5.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 12:40;13.57 Mbit/s;15.67 Mbit/s;32.23 ms;9.22 ms;13.76 Mbit/s;15.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 11:40;4.23 Mbit/s;4.86 Mbit/s;35.17 ms;6.85 ms;2.54 Mbit/s;5.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 10:40;16.97 Mbit/s;8.2 Mbit/s;9.68 ms;1.73 ms;18.56 Mbit/s;8.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/01/15 09:40;25.81 Mbit/s;15.88 Mbit/s;13.49 ms;1.09 ms;19.74 Mbit/s;15.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/01/15 08:40;7.55 Mbit/s;9.35 Mbit/s;7.68 ms;3.52 ms;8.32 Mbit/s;9.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 07:40;20.73 Mbit/s;8.77 Mbit/s;45.51 ms;4.9 ms;22.79 Mbit/s;9.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
18/01/15 06:40;27.29 Mbit/s;5.63 Mbit/s;4.71 ms;18.28 ms;16.47 Mbit/s;6.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/01/15 05:40;29.29 Mbit/s;17.39 Mbit/s;6.4 ms;3.62 ms;31.32 Mbit/s;17.62 Mbit/s;2.11 %;2.11 %;PTT Metro de Curitiba;;;;;
18/01/15 04:40;28.07 Mbit/s;19.95 Mbit/s;9.33 ms;7.29 ms;27.22 Mbit/s;18.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/01/15 03:40;22.53 Mbit/s;7.75 Mbit/s;2.18 ms;3.84 ms;21.01 Mbit/s;8.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
